Item,Quantity,Unit price,Total price,Descrption,Link
Fan,1,4.81,4.81,Facliate heaitng & cooling,https://www.aliexpress.us/item/3256808462428286.html?spm=a2g0o.productlist.main.1.6babkeHNkeHNko&algo_pvid=c39052da-f6dd-4b67-816a-d90e786c586d&algo_exp_id=c39052da-f6dd-4b67-816a-d90e786c586d-0&pdp_ext_f=%7B%22order%22%3A%2262%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.50%214.79%21%21%2178.10%2132.53%21%402101d6ff17774285328603962e8757%2112000046088904920%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000204886261&curPageLogUid=VweLjIS1lGkI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008648743038%7C_p_origin_prod%3A
Peltier,1,3.90$,$3.90,Cool and heat,https://www.aliexpress.us/item/3256806863842277.html?src=google&gatewayAdapt=glo2usa
Heatsink,2,4.80$,$9.79,Disspate heat,https://www.amazon.com/Awxlumv-Aluminum-60mmx60mmx15mm-Conductive-Amplifier/dp/B0DNLXD4NL
LCD screen,1,0.9900$,0.9900$,Displaying modes,https://www.aliexpress.us/item/3256807264700302.html?spm=a2g0o.productlist.main.15.3bb1HGrhHGrhWv&algo_pvid=f071bd73-714c-4717-acaa-3f74ef8deb17&algo_exp_id=f071bd73-714c-4717-acaa-3f74ef8deb17-14&pdp_ext_f=%7B%22order%22%3A%223710%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%213.14%210.99%21%21%213.14%210.99%21%4021030a6217776832914577048eb84d%2112000040806152744%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000203537378&curPageLogUid=GNgXD2HWAIP5&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007451015054%7C_p_origin_prod%3A#nav-specification
Thermistor,1,0.9500$,0.9500$,Temp meauring,https://www.adafruit.com/product/4890?srsltid=AfmBOopGi_4mLQSeRw3V9sBgnchAdNrL2zdLeJHItTaAc1rCL6Ne9o2P
Battery,1,26.99$,$26.99,Used as main source of power (for moblity) BMS confirmed,https://liionwholesale.com/products/3s1p-3-7v-3500mah-18650-battery-with-wires-and-connector-lg-mj1-cell-inside?srsltid=AfmBOopbHVjk3o8ywzVI_wQWHKZhMZp1uCq0ynXZWNxGTDKPMvd9ZKI6&variant=31229057794117
Wire,1,2.2300$,2.23$,"                      Battery caddy, peliter and fan extesion",https://www.aliexpress.us/item/3256802140205012.html?spm=a2g0o.productlist.main.8.4437dfNPdfNPLw&aem_p4p_detail=202606281750527933413825797320002756170&algo_pvid=c53e4217-68c6-4b26-9b29-3624128716f9&algo_exp_id=c53e4217-68c6-4b26-9b29-3624128716f9-7&pdp_ext_f=%7B%22order%22%3A%22123%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.70%212.79%21%21%214.70%212.79%21%402103212b17826942522901169e02c1%2112000052586672765%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=CY0b8Pvel5HR&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002326519764%7C_p_origin_prod%3A&search_p4p_id=202606281750527933413825797320002756170_2
Wall adapter,1,$1.28,$1.28,                      2nd way of recving power (1st battery),https://www.aliexpress.us/item/3256806555593510.html?spm=a2g0o.productlist.main.5.103eNCpVNCpVMj&algo_pvid=3d352d1e-bc43-4e77-9d29-16e4344ed46b&algo_exp_id=3d352d1e-bc43-4e77-9d29-16e4344ed46b-4&pdp_ext_f=%7B%22order%22%3A%221992%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.78%211.28%21%21%2179.73%218.69%21%402101eecd17826947715547891e5012%2112000038157481542%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000209510139&curPageLogUid=H50idJ0yOZub&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006741908262%7C_p_origin_prod%3A
M2 screw 8mm ,100,0.0100$,$1.35,screws for battery caddy,https://www.aliexpress.us/item/2251832857570651.html?spm=a2g0o.productlist.main.3.4e3cdUVEdUVEfl&algo_pvid=ea8d64ad-4af7-4109-af97-4e674e97f9e5&algo_exp_id=ea8d64ad-4af7-4109-af97-4e674e97f9e5-2&pdp_ext_f=%7B%22order%22%3A%2216288%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.35%210.99%21%21%211.35%210.99%21%402103129f17825915196483426e5a8e%2112000020018123413%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=WMcjfyJWRpdQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33043885403%7C_p_origin_prod%3A
M2 screw 14mm ,100,0.0100$,$1.35,screws for main case,https://www.aliexpress.us/item/2251832857570651.html?spm=a2g0o.productlist.main.3.4e3cdUVEdUVEfl&algo_pvid=ea8d64ad-4af7-4109-af97-4e674e97f9e5&algo_exp_id=ea8d64ad-4af7-4109-af97-4e674e97f9e5-2&pdp_ext_f=%7B%22order%22%3A%2216288%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.35%210.99%21%21%211.35%210.99%21%402103129f17825915196483426e5a8e%2112000020018123413%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad6b644bf%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=WMcjfyJWRpdQ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A33043885403%7C_p_origin_prod%3A
